prompt_type,concurrency,ttft,tpot,total_latency,tokens_generated,prompt_length,error
long,4,6.653772100000424,14.460992816296834,8.851397800000996,128,240,
long,4,8.878123399999822,11.551669317292966,11.08064960000047,128,227,
long,4,2.0903714999985823,29.752230167904294,4.302198499999577,128,263,
long,4,4.328777799999443,19.601181798128056,6.530218500000046,128,240,
long,4,6.558570999999574,14.61670984324656,8.757100700000592,128,263,
long,4,8.78437169999961,11.653810343943006,10.983532099999138,128,227,
long,4,2.216499300000578,28.666902795349213,4.465079499999774,128,263,
long,4,4.492224899999201,19.131525877446734,6.690527499999007,128,227,
long,4,6.717847400001119,14.3569425064893,8.91554730000098,128,240,
long,4,8.944987099999707,11.485651321270911,11.144339700000273,128,263,
short,8,2.0829462000001513,28.600669350995464,4.195706000000428,120,22,
short,8,4.225224399999206,2.706169403227287,4.434312200000932,12,14,
short,8,4.459304399999382,6.556986822146876,5.032799499998873,33,20,
short,8,5.0562613000001875,2.279231933027103,5.264931499999875,12,14,
short,8,5.2900327000006655,2.702328418043742,5.5507687000008445,15,20,
short,8,5.575977200000125,4.465524661107918,6.046322000000146,27,33,
short,8,6.07089520000045,11.371333800996004,7.562877099999241,86,27,
short,8,7.5794553000014275,7.062530860943961,8.637130400000387,61,27,
short,8,2.170803300001353,20.328217069577427,3.4434894000005443,70,27,
short,8,3.468797999999879,8.793797324371083,4.093794599999455,36,33,
short,8,4.1197056000000885,2.551295003712996,4.311535900000308,11,20,
short,8,4.328003299999182,3.2695620513183568,4.587770399999499,15,20,
short,8,4.613911399999779,1.271374049157883,4.719303500000024,6,14,
short,8,4.746669399999519,17.670249974309094,6.8476676999998745,121,22,
short,8,6.871609799998623,9.685828059603443,8.25948999999855,80,27,
short,8,8.282899600000746,1.4130622960525088,8.492194599999493,12,14,
short,8,2.109952200000407,13.988327063871871,2.788038900000174,39,33,
short,8,2.812263800000437,13.590498545420784,3.679040900000473,50,27,
short,8,3.7028659999996307,3.067544100164546,3.911924199999703,12,20,
short,8,3.9356460999988485,17.14442769489573,5.599486999999499,96,27,
short,8,5.626308900000367,2.547837387981317,5.887345900000582,15,20,
short,8,5.912512900000365,1.9602178684146476,6.121768500001053,12,14,
short,8,6.138485399998899,1.8911840438535676,6.345231199999034,12,14,
short,8,6.374061200000142,14.92232202755696,8.577753499999744,128,22,
long,8,2.1643404999995255,28.570668387576223,4.480119199999535,128,227,
long,8,4.508733599999687,19.07943940731619,6.708792499999618,128,263,
long,8,6.735231999999087,14.326759812990941,8.934330000000045,128,227,
long,8,8.962605500000791,11.467257347481482,11.16221570000016,128,240,
long,8,11.189977299998645,9.559114020388531,13.390362299998742,128,263,
long,8,13.417564400000629,8.19604903181323,15.617280899999969,128,240,
long,8,15.647848999999042,7.171191834379329,17.849194799999168,128,263,
long,8,17.87411400000019,6.376759739709752,20.07289049999963,128,240,
long,8,2.1424607999997534,29.388611720096588,4.355428599999868,128,227,
long,8,4.383294900000692,19.430031265800576,6.587740300001315,128,263,
long,8,6.615940199999386,14.522007279496592,8.81420849999995,128,240,
long,8,8.830909499998597,11.607328116124798,11.027516299998751,128,240,
long,8,11.05845490000138,9.655359267883707,13.256886300001497,128,263,
long,8,13.282864599999812,8.267982734876266,15.481406299999435,128,227,
long,8,15.510939699999653,7.2279721211018675,17.708978099999513,128,263,
long,8,17.735413399999743,6.421304089002135,19.93364560000009,128,240,
long,8,2.1531214999995427,29.17815043442668,4.386844200000269,128,263,
long,8,4.413893999999345,19.358473790027713,6.612091499999224,128,240,
long,8,6.643016300000454,14.465512207286723,8.848632400000497,128,263,
long,8,8.86624859999938,11.569333233476566,11.063731799999005,128,263,
long,8,11.09127140000055,9.631077585229392,13.290309300000445,128,240,
long,8,13.307976599999165,8.255265448544097,15.505255500000203,128,240,
long,8,15.53185029999986,7.219114315177192,17.73070689999986,128,227,
long,8,17.749682399999074,6.3972693575614095,20.008536899998944,128,227,
